2020 National Employment Matrix title,2020 National Employment Matrix code,Occupation type,"Employment, 2020","Employment, 2030","Employment change, 2020-30","Percent employment change, 2020-30","Percent self employed, 2020","Occupational openings, 2020-30 annual average",Median annual wage 2020,Typical education needed for entry,Work experience in a related occupation,Typical on-the-job training needed to attain competency in the occupation
Nursing assistants,31-1131,Line item,"1,396.70","1,512.00",115.3,8.3,1.1,187,30850,Postsecondary nondegree award,None,None
Orderlies,31-1132,Line item,44,47.2,3.2,7.2,—,5.8,30030,High school diploma or equivalent,None,Short-term on-the-job training
Psychiatric aides,31-1133,Line item,54.1,58.1,4,7.4,—,7.2,31570,High school diploma or equivalent,None,Short-term on-the-job training
Occupational therapy and physical therapist assistants and aides,31-2000,Summary,189.5,251.3,61.8,32.6,0.1,32.5,54250,—,—,—
Occupational therapy assistants and aides,31-2010,Summary,49,65.9,16.8,34.3,0.3,8.8,60950,—,—,—
Occupational therapy assistants,31-2011,Line item,43.3,58.9,15.6,36.1,0.3,7.8,62940,Associate's degree,None,None
Occupational therapy aides,31-2012,Line item,5.8,7,1.2,21.4,—,0.9,30180,High school diploma or equivalent,None,Short-term on-the-job training
Physical therapist assistants and aides,31-2020,Summary,140.5,185.4,44.9,32,—,23.8,49970,—,—,—
Physical therapist assistants,31-2021,Line item,93.8,126.9,33.2,35.4,—,16.4,59770,Associate's degree,None,None
Physical therapist aides,31-2022,Line item,46.7,58.5,11.8,25.3,—,7.4,28450,High school diploma or equivalent,None,Short-term on-the-job training
Other healthcare support occupations,31-9000,Summary,"1,682.90","1,948.90",266,15.8,3.7,243.5,36780,—,—,—
Massage therapists,31-9011,Line item,144.6,191.1,46.5,32.2,38.1,23.3,43620,Postsecondary nondegree award,None,None
Miscellaneous healthcare support occupations,31-9090,Summary,"1,538.30","1,757.80",219.5,14.3,0.5,220.3,36610,—,—,—
Dental assistants,31-9091,Line item,330.2,367,36.9,11.2,0.1,44,41180,Postsecondary nondegree award,None,None
Medical assistants,31-9092,Line item,720.9,853.5,132.6,18.4,0.2,104.4,35850,Postsecondary nondegree award,None,None
Medical equipment preparers,31-9093,Line item,58.7,63.6,4.9,8.4,1.5,7.9,38800,High school diploma or equivalent,None,Moderate-term on-the-job training
Medical transcriptionists,31-9094,Line item,52.4,48.5,-3.9,-7.4,5.6,6.6,35270,Postsecondary nondegree award,None,None
Pharmacy aides,31-9095,Line item,38.9,33.2,-5.7,-14.7,—,4.1,29280,High school diploma or equivalent,None,Short-term on-the-job training
Veterinary assistants and laboratory animal caretakers,31-9096,Line item,107.2,122.5,15.3,14.3,0.4,19.8,29930,High school diploma or equivalent,None,Short-term on-the-job training
Phlebotomists,31-9097,Line item,129.6,158.4,28.8,22.2,0.4,19.5,36320,Postsecondary nondegree award,None,None
"Healthcare support workers, all other",31-9099,Line item,100.5,111,10.6,10.5,1.2,13.9,39530,High school diploma or equivalent,None,None
Protective service occupations,33-0000,Summary,"3,417.20","3,703.70",286.4,8.4,0.3,427.5,43710,—,—,—
Supervisors of protective service workers,33-1000,Summary,332.8,353.9,21.1,6.3,0.4,27.5,72360,—,—,—
First-line supervisors of law enforcement workers,33-1010,Summary,181.2,188.1,7,3.8,—,13.2,82880,—,—,—
First-line supervisors of correctional officers,33-1011,Line item,55.3,53.8,-1.5,-2.8,—,4.1,60910,High school diploma or equivalent,Less than 5 years,None
First-line supervisors of police and detectives,33-1012,Line item,125.8,134.3,8.5,6.8,—,9.1,92970,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
First-line supervisors of firefighting and prevention workers,33-1021,Line item,70.2,76,5.8,8.2,—,5.3,78870,Postsecondary nondegree award,Less than 5 years,Moderate-term on-the-job training
"Miscellaneous first-line supervisors, protective service workers",33-1090,Line item,81.4,89.8,8.3,10.2,1.7,9,52650,High school diploma or equivalent,Less than 5 years,None
Firefighting and prevention workers,33-2000,Summary,334.9,363.8,28.9,8.6,0.1,29.1,53060,—,—,—
Firefighters,33-2011,Line item,317.2,344.1,26.9,8.5,—,27,52500,Postsecondary nondegree award,None,Long-term on-the-job training
Fire inspectors,33-2020,Summary,17.7,19.7,2,11.5,2.5,2.1,62120,—,—,—
Fire inspectors and investigators,33-2021,Line item,14.7,16,1.3,8.9,2.9,1.7,64610,Postsecondary nondegree award,5 years or more,Moderate-term on-the-job training
Forest fire inspectors and prevention specialists,33-2022,Line item,3,3.7,0.7,23.9,—,0.4,42150,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
Law enforcement workers,33-3000,Summary,"1,239.90","1,259.00",19.1,1.5,0.1,103.2,59340,—,—,—
"Bailiffs, correctional officers, and jailers",33-3010,Summary,437.1,407.2,-29.9,-6.8,—,35.7,47440,—,—,—
Bailiffs,33-3011,Line item,18.5,18.6,0.1,0.4,—,1.7,48000,High school diploma or equivalent,None,Moderate-term on-the-job training
Correctional officers and jailers,33-3012,Line item,418.5,388.5,-30,-7.2,—,34,47410,High school diploma or equivalent,None,Moderate-term on-the-job training
Detectives and criminal investigators,33-3021,Line item,112.5,115.3,2.8,2.5,—,8.4,86940,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
Fish and game wardens,33-3031,Line item,7.5,7.5,0,0.2,—,0.8,58040,Bachelor's degree,None,Moderate-term on-the-job training
Parking enforcement workers,33-3041,Line item,7.9,5.1,-2.8,-35,—,0.4,42070,High school diploma or equivalent,None,Short-term on-the-job training
Police officers,33-3050,Summary,674.9,723.8,48.9,7.2,0.1,57.9,65600,—,—,—
Police and sheriff's patrol officers,33-3051,Line item,671.2,719.8,48.6,7.2,0.1,57.6,65540,High school diploma or equivalent,None,Moderate-term on-the-job training
Transit and railroad police,33-3052,Line item,3.8,4.1,0.3,8.6,2.3,0.3,72580,High school diploma or equivalent,None,Moderate-term on-the-job training
Other protective service workers,33-9000,Summary,"1,509.70","1,727.10",217.4,14.4,0.4,267.7,31230,—,—,—
Animal control workers,33-9011,Line item,11.8,13,1.2,10.5,—,1.2,38430,High school diploma or equivalent,None,Moderate-term on-the-job training
Private detectives and investigators,33-9021,Line item,33.7,38.1,4.4,13.2,4.5,3.5,53320,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
Security guards and gambling surveillance officers,33-9030,Summary,"1,067.70","1,223.30",155.6,14.6,0.4,165,31080,—,—,—
Gambling surveillance officers and gambling investigators,33-9031,Line item,8.7,10.1,1.4,15.5,—,1.4,35300,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
Security guards,33-9032,Line item,"1,059.00","1,213.20",154.2,14.6,0.4,163.6,31050,High school diploma or equivalent,None,Short-term on-the-job training
Miscellaneous protective service workers,33-9090,Summary,396.5,452.6,56.1,14.2,—,98.1,30740,—,—,—
Crossing guards and flaggers,33-9091,Line item,85.5,97,11.5,13.4,—,19.1,30790,No formal educational credential,None,Short-term on-the-job training
"Lifeguards, ski patrol, and other recreational protective service workers",33-9092,Line item,117.5,146.3,28.7,24.5,—,35.7,25020,No formal educational credential,None,Short-term on-the-job training
Transportation security screeners,33-9093,Line item,51.8,51.9,0.1,0.2,—,4.5,44300,High school diploma or equivalent,None,Short-term on-the-job training
"School bus monitors and protective service workers, all other",33-9098,Line item,141.6,157.4,15.8,11.2,—,38.8,31960,High school diploma or equivalent,None,Short-term on-the-job training
Food preparation and serving related occupations,35-0000,Summary,"11,553.30","13,820.80","2,267.60",19.6,0.6,"2,475.30",25500,—,—,—
Supervisors of food preparation and serving workers,35-1000,Summary,"1,026.10","1,244.80",218.8,21.3,1.8,185.9,35900,—,—,—
Chefs and head cooks,35-1011,Line item,110.7,138.7,28,25.3,5.3,18.8,53380,High school diploma or equivalent,5 years or more,None
First-line supervisors of food preparation and serving workers,35-1012,Line item,915.4,"1,106.10",190.8,20.8,1.4,167.2,34570,High school diploma or equivalent,Less than 5 years,None
Cooks and food preparation workers,35-2000,Summary,"3,102.70","3,749.90",647.2,20.9,1.3,581.7,27070,—,—,—
Cooks,35-2010,Summary,"2,281.40","2,876.10",594.6,26.1,1.4,432,27250,—,—,—
"Cooks, fast food",35-2011,Line item,547.8,536.2,-11.6,-2.1,—,77.1,24380,No formal educational credential,None,Short-term on-the-job training
"Cooks, institution and cafeteria",35-2012,Line item,394.6,421.5,27,6.8,—,61.6,28650,No formal educational credential,None,Short-term on-the-job training
"Cooks, private household",35-2013,Line item,40.9,41.8,0.9,2.1,78.9,6.1,32630,Postsecondary nondegree award,Less than 5 years,None
"Cooks, restaurant",35-2014,Line item,"1,153.20","1,716.70",563.5,48.9,—,263.6,28800,No formal educational credential,Less than 5 years,Moderate-term on-the-job training
"Cooks, short order",35-2015,Line item,124.5,136.4,11.9,9.6,—,20,26570,No formal educational credential,None,Short-term on-the-job training
"Cooks, all other",35-2019,Line item,20.5,23.3,2.9,14,—,3.5,30460,No formal educational credential,None,Moderate-term on-the-job training
Food preparation workers,35-2021,Line item,821.2,873.8,52.6,6.4,0.9,149.8,26070,No formal educational credential,None,Short-term on-the-job training
Food and beverage serving workers,35-3000,Summary,"6,222.30","7,342.00","1,119.70",18,0.2,"1,431.70",24050,—,—,—
Bartenders,35-3011,Line item,492.3,652.3,159.9,32.5,0.4,111.3,24960,No formal educational credential,None,Short-term on-the-job training
Fast food and counter workers,35-3023,Line item,"3,455.50","3,973.00",517.5,15,0.1,804.6,23860,No formal educational credential,None,Short-term on-the-job training
Waiters and waitresses,35-3031,Line item,"2,023.20","2,430.70",407.6,20.1,0.2,470.2,23740,No formal educational credential,None,Short-term on-the-job training
"Food servers, nonrestaurant",35-3041,Line item,251.3,286,34.7,13.8,—,45.7,25910,No formal educational credential,None,Short-term on-the-job training
Other food preparation and serving related workers,35-9000,Summary,"1,202.20","1,484.00",281.8,23.4,0.4,275.9,25010,—,—,—
Dining room and cafeteria attendants and bartender helpers,35-9011,Line item,389,492.5,103.6,26.6,0.3,86.5,25010,No formal educational credential,None,Short-term on-the-job training
Dishwashers,35-9021,Line item,408.5,486.3,77.8,19,0.3,78.8,25270,No formal educational credential,None,Short-term on-the-job training
"Hosts and hostesses, restaurant, lounge, and coffee shop",35-9031,Line item,333.6,417.8,84.2,25.3,0.6,95.2,23880,No formal educational credential,None,Short-term on-the-job training
"Food preparation and serving related workers, all other",35-9099,Line item,71.2,87.4,16.2,22.8,—,15.3,27080,No formal educational credential,None,Short-term on-the-job training
Building and grounds cleaning and maintenance occupations,37-0000,Summary,"5,168.80","5,555.60",386.8,7.5,13.2,733.8,29940,—,—,—
Supervisors of building and grounds cleaning and maintenance workers,37-1000,Summary,406.9,427.4,20.5,5.1,39,47.1,46280,—,—,—
First-line supervisors of housekeeping and janitorial workers,37-1011,Line item,225.5,238.8,13.2,5.9,36,27.3,42040,High school diploma or equivalent,Less than 5 years,None
"First-line supervisors of landscaping, lawn service, and groundskeeping workers",37-1012,Line item,181.3,188.6,7.3,4,42.8,19.7,51010,High school diploma or equivalent,Less than 5 years,None
Building cleaning and pest control workers,37-2000,Summary,"3,535.00","3,808.70",273.7,7.7,7.7,513.5,28360,—,—,—
Building cleaning workers,37-2010,Summary,"3,448.20","3,713.60",265.4,7.7,7.8,500.7,28160,—,—,—
"Janitors and cleaners, except maids and housekeeping cleaners",37-2011,Line item,"2,217.00","2,344.20",127.2,5.7,5.6,314.9,29080,No formal educational credential,None,Short-term on-the-job training
Maids and housekeeping cleaners,37-2012,Line item,"1,212.80","1,350.30",137.5,11.3,11.7,183.3,26220,No formal educational credential,None,Short-term on-the-job training
"Building cleaning workers, all other",37-2019,Line item,18.4,19.1,0.7,3.5,7.3,2.6,34510,No formal educational credential,None,Short-term on-the-job training
Pest control workers,37-2021,Line item,86.8,95,8.2,9.5,6.6,12.8,37820,High school diploma or equivalent,None,Moderate-term on-the-job training
Grounds maintenance workers,37-3000,Summary,"1,226.90","1,319.50",92.6,7.6,20.4,173.2,32220,—,—,—
Landscaping and groundskeeping workers,37-3011,Line item,"1,117.80","1,202.80",85,7.6,20.9,157.9,31730,No formal educational credential,None,Short-term on-the-job training
"Pesticide handlers, sprayers, and applicators, vegetation",37-3012,Line item,27.3,29.6,2.3,8.3,6.2,3.9,36630,High school diploma or equivalent,None,Moderate-term on-the-job training
Tree trimmers and pruners,37-3013,Line item,66.4,70.5,4.1,6.1,20.2,9.2,41340,High school diploma or equivalent,None,Short-term on-the-job training
"Grounds maintenance workers, all other",37-3019,Line item,15.3,16.6,1.3,8.6,4.2,2.2,34210,No formal educational credential,None,Short-term on-the-job training
Personal care and service occupations,39-0000,Summary,"3,870.40","4,711.40",841,21.7,20.1,685,28120,—,—,—
Supervisors of personal care and service workers,39-1000,Summary,222.4,275.5,53.1,23.9,9.7,31.7,42850,—,—,—
First-line supervisors of gambling services workers,39-1013,Line item,22,26.7,4.7,21.4,6.8,3,50440,High school diploma or equivalent,Less than 5 years,None
"First-line supervisors of personal service and entertainment and recreation workers, except gambling services",39-1098,Line item,200.4,248.8,48.4,24.2,10,28.6,42000,High school diploma or equivalent,Less than 5 years,None
Animal care and service workers,39-2000,Summary,332.7,443.4,110.8,33.3,29.3,66.2,26370,—,—,—
Animal trainers,39-2011,Line item,60.2,77.4,17.2,28.5,44.4,9.9,31520,High school diploma or equivalent,None,Moderate-term on-the-job training
Animal caretakers,39-2021,Line item,272.4,366.1,93.6,34.4,25.9,56.4,26080,High school diploma or equivalent,None,Short-term on-the-job training
Entertainment attendants and related workers,39-3000,Summary,460.2,626.6,166.5,36.2,0.6,125.9,24980,—,—,—
Gambling services workers,39-3010,Summary,91.3,113.8,22.6,24.7,1.6,17.1,24790,—,—,—
Gambling dealers,39-3011,Line item,74.1,91.9,17.8,24,1.5,13.8,23740,High school diploma or equivalent,None,Short-term on-the-job training
Gambling and sports book writers and runners,39-3012,Line item,8,10.3,2.3,28.5,2,1.5,25220,High school diploma or equivalent,None,Short-term on-the-job training
"Gambling service workers, all other",39-3019,Line item,9.2,11.7,2.5,27.2,1.8,1.8,29360,High school diploma or equivalent,None,Short-term on-the-job training
Motion picture projectionists,39-3021,Line item,1.7,2.9,1.2,70.5,—,0.6,27490,No formal educational credential,None,Short-term on-the-job training
"Ushers, lobby attendants, and ticket takers",39-3031,Line item,81.5,131.9,50.4,61.8,—,29.4,25110,No formal educational credential,None,Short-term on-the-job training
Miscellaneous entertainment attendants and related workers,39-3090,Summary,285.7,378,92.3,32.3,0.5,78.8,25000,—,—,—
Amusement and recreation attendants,39-3091,Line item,264.4,349.8,85.4,32.3,0.5,72.9,24760,No formal educational credential,None,Short-term on-the-job training
Costume attendants,39-3092,Line item,5.4,7.7,2.4,44.3,—,1.6,42910,High school diploma or equivalent,None,Short-term on-the-job training
"Locker room, coatroom, and dressing room attendants",39-3093,Line item,12,15.2,3.2,26.3,0.5,3.2,26700,High school diploma or equivalent,None,Short-term on-the-job training
"Entertainment attendants and related workers, all other",39-3099,Line item,3.9,5.3,1.4,35.4,—,1.1,27230,High school diploma or equivalent,None,Short-term on-the-job training
Embalmers,39-4011,Line item,5,5,0,-0.6,17.5,0.7,47630,Associate's degree,None,Long-term on-the-job training
Funeral attendants,39-4021,Line item,42.3,43.7,1.4,3.3,17.6,5.8,29150,High school diploma or equivalent,None,Short-term on-the-job training
"Morticians, undertakers, and funeral arrangers",39-4031,Line item,25,26.1,1,4.1,1.1,3.1,54100,Associate's degree,None,Long-term on-the-job training
Personal appearance workers,39-5000,Summary,828.3,"1,012.20",184,22.2,41.7,116.4,28310,—,—,—
"Barbers, hairdressers, hairstylists and cosmetologists",39-5010,Summary,622.7,742.4,119.8,19.2,45.1,85.3,27630,—,—,—
Barbers,39-5011,Line item,53,62.3,9.3,17.5,69.3,6.4,32470,Postsecondary nondegree award,None,None
"Hairdressers, hairstylists, and cosmetologists",39-5012,Line item,569.6,680.1,110.5,19.4,42.8,78.9,27380,Postsecondary nondegree award,None,None
Miscellaneous personal appearance workers,39-5090,Summary,205.6,269.8,64.2,31.2,31.5,31.1,29560,—,—,—
"Makeup artists, theatrical and performance",39-5091,Line item,3.1,4.2,1.1,37,19.2,0.5,106920,Postsecondary nondegree award,None,None
Manicurists and pedicurists,39-5092,Line item,123,163.1,40.1,32.6,35.2,18.8,27870,Postsecondary nondegree award,None,None
Shampooers,39-5093,Line item,10.8,14.1,3.2,29.8,16.1,1.6,24190,No formal educational credential,None,Short-term on-the-job training
Skincare specialists,39-5094,Line item,68.7,88.4,19.8,28.8,27.9,10.1,36510,Postsecondary nondegree award,None,None
"Baggage porters, bellhops, and concierges",39-6000,Summary,65.6,80,14.4,22,—,10.8,30110,—,—,—
Baggage porters and bellhops,39-6011,Line item,28.6,35.6,7,24.5,—,4.8,27050,High school diploma or equivalent,None,Short-term on-the-job training
Concierges,39-6012,Line item,37.1,44.5,7.4,20,—,6,32380,High school diploma or equivalent,None,Moderate-term on-the-job training
Tour and travel guides,39-7000,Summary,44,56.8,12.8,29.1,12.4,9.2,29460,—,—,—
Tour and travel guides,39-7010,Line item,44,56.8,12.8,29.1,12.4,9.2,29460,High school diploma or equivalent,None,Moderate-term on-the-job training
Childcare workers,39-9011,Line item,992.4,"1,076.60",84.2,8.5,22.6,150.3,25460,High school diploma or equivalent,None,Short-term on-the-job training
Recreation and fitness workers,39-9030,Summary,663.9,843.3,179.5,27,9.1,133.6,31250,—,—,—
Exercise trainers and group fitness instructors,39-9031,Line item,309.8,431.4,121.7,39.3,18.3,69.1,40510,High school diploma or equivalent,None,Short-term on-the-job training
Recreation workers,39-9032,Line item,354.1,411.9,57.8,16.3,1,64.6,28440,High school diploma or equivalent,None,Short-term on-the-job training
Residential advisors,39-9041,Line item,108.2,121.6,13.4,12.4,—,17.5,31190,High school diploma or equivalent,None,Short-term on-the-job training
"Crematory operators and personal care and service workers, all other",39-9098,Line item,80.5,100.5,19.9,24.8,15.6,13.9,28420,High school diploma or equivalent,None,Short-term on-the-job training
Sales and related occupations,41-0000,Summary,"14,393.60","14,190.70",-202.9,-1.4,7.8,"1,838.60",31500,—,—,—
Supervisors of sales workers,41-1000,Summary,"1,767.00","1,658.00",-109,-6.2,25.5,162.3,46070,—,—,—
First-line supervisors of retail sales workers,41-1011,Line item,"1,390.60","1,300.40",-90.2,-6.5,22.7,131.8,41580,High school diploma or equivalent,Less than 5 years,None
First-line supervisors of non-retail sales workers,41-1012,Line item,376.4,357.6,-18.8,-5,35.7,30.6,78560,High school diploma or equivalent,Less than 5 years,None
Retail sales workers,41-2000,Summary,"7,858.80","7,527.60",-331.2,-4.2,1.9,"1,154.10",26270,—,—,—
Cashiers,41-2010,Summary,"3,393.80","3,060.00",-333.8,-9.8,0.2,550.1,25020,—,—,—
Cashiers,41-2011,Line item,"3,379.10","3,042.70",-336.4,-10,0.2,546.9,25020,No formal educational credential,None,Short-term on-the-job training
Gambling change persons and booth cashiers,41-2012,Line item,14.7,17.3,2.7,18.1,—,3.2,27080,No formal educational credential,None,Short-term on-the-job training
Counter and rental clerks and parts salespersons,41-2020,Summary,629.9,671.9,42,6.7,0.4,79.4,31480,—,—,—
Counter and rental clerks,41-2021,Line item,372.1,401.5,29.4,7.9,0.2,46.8,30870,No formal educational credential,None,Short-term on-the-job training
Parts salespersons,41-2022,Line item,257.8,270.4,12.6,4.9,0.7,32.6,32460,No formal educational credential,None,Moderate-term on-the-job training
Retail salespersons,41-2031,Line item,"3,835.00","3,795.70",-39.3,-1,3.5,524.5,27080,No formal educational credential,None,Short-term on-the-job training
"Sales representatives, services",41-3000,Summary,"2,134.30","2,293.20",158.9,7.4,5.1,241.7,57760,—,—,—
Advertising sales agents,41-3011,Line item,115.1,118.7,3.6,3.1,5.8,14.8,54940,High school diploma or equivalent,None,Moderate-term on-the-job training
Insurance sales agents,41-3021,Line item,507.2,542.7,35.5,7,13,50.4,52180,High school diploma or equivalent,None,Moderate-term on-the-job training
"Securities, commodities, and financial services sales agents",41-3031,Line item,466.3,485.8,19.5,4.2,3.9,42.5,64770,Bachelor's degree,None,Moderate-term on-the-job training
Travel agents,41-3041,Line item,60.5,63.8,3.3,5.4,14,7.5,42350,High school diploma or equivalent,None,Moderate-term on-the-job training
"Sales representatives of services, except advertising, insurance, financial services, and travel",41-3091,Line item,985.2,"1,082.10",97,9.8,1,126.5,58770,High school diploma or equivalent,None,Moderate-term on-the-job training
"Sales representatives, wholesale and manufacturing",41-4000,Summary,"1,625.70","1,703.30",77.6,4.8,3.2,169.4,65420,—,—,—
"Sales representatives, wholesale and manufacturing, technical and scientific products",41-4011,Line item,298.2,316.5,18.2,6.1,3.2,31.7,86650,Bachelor's degree,None,Moderate-term on-the-job training
"Sales representatives, wholesale and manufacturing, except technical and scientific products",41-4012,Line item,"1,327.50","1,386.80",59.4,4.5,3.2,137.8,62070,High school diploma or equivalent,None,Moderate-term on-the-job training
Other sales and related workers,41-9000,Summary,"1,007.90","1,008.60",0.8,0.1,36.9,111,37560,—,—,—
"Models, demonstrators, and product promoters",41-9010,Summary,78.9,84.8,5.9,7.5,8.6,15.1,32490,—,—,—
Demonstrators and product promoters,41-9011,Line item,76.3,81.9,5.6,7.3,8.6,14.6,32500,No formal educational credential,None,Short-term on-the-job training
Models,41-9012,Line item,2.7,3,0.3,11.4,6.9,0.5,31910,No formal educational credential,None,None
Real estate brokers and sales agents,41-9020,Summary,518.8,540.6,21.8,4.2,57.8,47.5,51220,—,—,—
Real estate brokers,41-9021,Line item,109.9,114.8,4.9,4.5,58.3,10.1,60370,High school diploma or equivalent,Less than 5 years,None
Real estate sales agents,41-9022,Line item,408.9,425.8,16.9,4.1,57.6,37.4,49040,High school diploma or equivalent,None,Moderate-term on-the-job training
Sales engineers,41-9031,Line item,63.8,68.8,5,7.9,—,7.3,108830,Bachelor's degree,None,Moderate-term on-the-job training
Telemarketers,41-9041,Line item,119.7,97.8,-21.9,-18.3,2.6,13.9,27920,No formal educational credential,None,Short-term on-the-job training
Miscellaneous sales and related workers,41-9090,Summary,226.6,216.5,-10.1,-4.5,27.6,27.2,30510,—,—,—
"Door-to-door sales workers, news and street vendors, and related workers",41-9091,Line item,54,41,-13,-24.1,84.6,4.7,29730,No formal educational credential,None,Short-term on-the-job training
"Sales and related workers, all other",41-9099,Line item,172.6,175.5,2.9,1.7,9.8,22.5,30550,High school diploma or equivalent,None,None
Office and administrative support occupations,43-0000,Summary,"19,554.70","19,015.60",-539.2,-2.8,1.6,"2,062.80",38720,—,—,—
Supervisors of office and administrative support workers,43-1000,Summary,"1,487.30","1,464.40",-22.9,-1.5,0.7,142.7,58450,—,—,—
First-line supervisors of office and administrative support workers,43-1011,Line item,"1,487.30","1,464.40",-22.9,-1.5,0.7,142.7,58450,High school diploma or equivalent,Less than 5 years,None
Communications equipment operators,43-2000,Summary,69.1,54.8,-14.2,-20.6,1.7,5.4,32060,—,—,—
"Switchboard operators, including answering service",43-2011,Line item,59.9,46.3,-13.6,-22.7,—,4.5,31430,High school diploma or equivalent,None,Short-term on-the-job training
Telephone operators,43-2021,Line item,4.8,3.6,-1.2,-25.4,—,0.4,37710,High school diploma or equivalent,None,Short-term on-the-job training
"Communications equipment operators, all other",43-2099,Line item,4.4,5,0.6,13.8,27.6,0.5,46680,High school diploma or equivalent,None,Short-term on-the-job training
Financial clerks,43-3000,Summary,"2,977.70","2,832.80",-144.9,-4.9,3.3,295.5,39550,—,—,—
Bill and account collectors,43-3011,Line item,223.1,202.6,-20.5,-9.2,0.3,20.8,38100,High school diploma or equivalent,None,Moderate-term on-the-job training
Billing and posting clerks,43-3021,Line item,458.5,471.6,13.1,2.9,1,48.9,39590,High school diploma or equivalent,None,Moderate-term on-the-job training
"Bookkeeping, accounting, and auditing clerks",43-3031,Line item,"1,620.00","1,571.90",-48.1,-3,5.5,170.2,42410,"Some college, no degree",None,Moderate-term on-the-job training
Gambling cage workers,43-3041,Line item,11.3,13.5,2.2,19.5,1.3,1.5,28650,High school diploma or equivalent,None,Short-term on-the-job training
Payroll and timekeeping clerks,43-3051,Line item,137.3,119.7,-17.7,-12.9,0.5,11.4,47020,High school diploma or equivalent,None,Moderate-term on-the-job training
Procurement clerks,43-3061,Line item,63,59.8,-3.2,-5.1,—,5.2,44740,High school diploma or equivalent,None,Moderate-term on-the-job training
Tellers,43-3071,Line item,432.5,359.4,-73.1,-16.9,0.1,33.7,32620,High school diploma or equivalent,None,Short-term on-the-job training
"Financial clerks, all other",43-3099,Line item,31.9,34.3,2.4,7.5,2.7,3.7,44160,High school diploma or equivalent,None,Short-term on-the-job training
Information and record clerks,43-4000,Summary,"5,676.10","5,687.00",10.9,0.2,0.8,693.2,35300,—,—,—
Brokerage clerks,43-4011,Line item,45.5,41.1,-4.4,-9.8,0.3,4.2,55270,High school diploma or equivalent,None,Moderate-term on-the-job training
Correspondence clerks,43-4021,Line item,7,6.8,-0.2,-2.9,10.1,0.7,38400,High school diploma or equivalent,None,Short-term on-the-job training
"Court, municipal, and license clerks",43-4031,Line item,162.1,171.6,9.5,5.8,1.5,17.5,40930,High school diploma or equivalent,None,Long-term on-the-job training
"Credit authorizers, checkers, and clerks",43-4041,Line item,25.3,24.1,-1.2,-4.8,2.2,2.3,41730,High school diploma or equivalent,None,Moderate-term on-the-job training
Customer service representatives,43-4051,Line item,"2,923.40","2,888.80",-34.5,-1.2,0.4,361.7,35830,High school diploma or equivalent,None,Short-term on-the-job training
"Eligibility interviewers, government programs",43-4061,Line item,145.4,150.9,5.6,3.8,—,13.7,47110,High school diploma or equivalent,None,Moderate-term on-the-job training
File clerks,43-4071,Line item,99.7,87.1,-12.6,-12.6,5.4,9.6,34090,High school diploma or equivalent,None,Short-term on-the-job training
"Hotel, motel, and resort desk clerks",43-4081,Line item,221,257.3,36.3,16.4,0,42.8,25490,High school diploma or equivalent,None,Short-term on-the-job training
"Interviewers, except eligibility and loan",43-4111,Line item,180.2,168.4,-11.8,-6.5,0.1,20.1,36170,High school diploma or equivalent,None,Short-term on-the-job training
"Library assistants, clerical",43-4121,Line item,88,87.5,-0.5,-0.6,0.3,13.4,28730,High school diploma or equivalent,None,Short-term on-the-job training
Loan interviewers and clerks,43-4131,Line item,208.8,203.8,-5,-2.4,0.4,17.6,41370,High school diploma or equivalent,None,Short-term on-the-job training
New accounts clerks,43-4141,Line item,46.1,38.4,-7.7,-16.7,—,3.2,37750,High school diploma or equivalent,None,Moderate-term on-the-job training
Order clerks,43-4151,Line item,133.9,109.5,-24.4,-18.2,10.7,10.4,35590,"Some college, no degree",None,Short-term on-the-job training
"Human resources assistants, except payroll and timekeeping",43-4161,Line item,112,108.8,-3.2,-2.9,—,10.6,43250,Associate's degree,None,None
Receptionists and information clerks,43-4171,Line item,"1,016.20","1,060.00",43.8,4.3,0.6,134,31110,High school diploma or equivalent,None,Short-term on-the-job training
Reservation and transportation ticket agents and travel clerks,43-4181,Line item,101.6,114.7,13.1,12.9,1.2,13.1,39430,High school diploma or equivalent,None,Short-term on-the-job training
"Information and record clerks, all other",43-4199,Line item,159.9,168.1,8.2,5.1,0.1,18.3,42820,High school diploma or equivalent,None,Short-term on-the-job training
"Material recording, scheduling, dispatching, and distributing workers",43-5000,Summary,"2,213.00","2,174.90",-38,-1.7,3.5,196.3,41160,—,—,—
Cargo and freight agents,43-5011,Line item,95.6,105.1,9.5,9.9,—,10.7,43770,High school diploma or equivalent,None,Short-term on-the-job training
Couriers and messengers,43-5021,Line item,142.2,130.5,-11.7,-8.2,48.3,11.8,30980,High school diploma or equivalent,None,Short-term on-the-job training
Dispatchers,43-5030,Summary,287.5,303.6,16.1,5.6,1.3,28.6,41750,—,—,—
Public safety telecommunicators,43-5031,Line item,95.4,103.2,7.8,8.2,—,9.8,43290,High school diploma or equivalent,None,Moderate-term on-the-job training
"Dispatchers, except police, fire, and ambulance",43-5032,Line item,192.1,200.4,8.3,4.3,2,18.7,40980,High school diploma or equivalent,None,Moderate-term on-the-job training
